id,title,overview,mainResponsibilities,tasks,knowledge,skills,skillKeywords,education,preferredExperience,certifications,experienceMin,experienceMax,weight_skills,weight_knowledge,weight_tasks,weight_certifications,weight_education,thresholdScore,testCategory
10,Cybersecurity Architect,"The Cybersecurity Architect ensures that security requirements are seamlessly integrated into enterprise architectures, systems, and services. This role designs secure frameworks, evaluates new and existing solutions for architectural weaknesses, and aligns security architecture decisions with organizational mission, business needs, and compliance obligations. The architect collaborates with engineering, operations, and leadership teams to build resilient, scalable, and secure technical environments.","Design secure architectures for enterprise systems, applications, and networks based on business and mission requirements using systems security engineering principles | Integrate organizational goals, risk objectives, and compliance requirements into security architecture decisions | Define baseline security requirements and create system security contexts, models, and concepts of operations (ConOps) | Perform architectural security reviews to identify gaps, inconsistencies, and weaknesses in systems and designs | Evaluate the cybersecurity impact of new technologies, integrations, and system changes using threat analysis and risk assessment | Develop security controls and secure design patterns aligned with defense-in-depth principles and multilayered design concepts | Determine the effectiveness of cybersecurity design decisions and validate alignment with architecture standards and frameworks | Prioritize critical capabilities and security controls required to protect essential business functions | Implement network segmentation, secure network design patterns, and layered defensive architectures | Collaborate with engineering, operations, and leadership teams to translate operational and mission requirements into actionable security architecture components | Apply knowledge of enterprise cybersecurity architecture principles, CIA concepts, and data classification to ensure secure system development","Design secure architectures for enterprise systems, applications, and networks based on business and mission requirements. | Integrate organizational goals, risk objectives, and compliance requirements into security architecture decisions. | Define baseline security requirements and create system security contexts and models. | Perform architectural security reviews to identify gaps, inconsistencies, and weaknesses in systems and designs. | Evaluate the cybersecurity impact of new technologies, integrations, and system changes. | Develop system security concepts of operations (ConOps) and architectural documentation. | Determine the effectiveness of cybersecurity design decisions and validate alignment with architecture standards. | Prioritize critical capabilities and security controls required to protect essential business functions. | Collaborate with engineering and operations to implement network segmentation, secure design patterns, and defense-in-depth strategies.","Enterprise cybersecurity architecture principles, reference models, and multilayered design concepts. | Systems security engineering (SSE) principles and secure system development practices. | Confidentiality, Integrity, and Availability (CIA) concepts and non-repudiation principles. | Cybersecurity threats, vulnerabilities, exploitation techniques, and adversarial characteristics. | Network architecture, secure network design patterns, and segmentation strategies. | Enterprise IT architecture frameworks, system engineering processes, and integration practices. | Cyber defense tools, controls, and defense-in-depth principles. | Risk management processes including identification, analysis, and prioritization of architectural risks. | Data classification concepts, multilevel security requirements, and access control models. | Cybersecurity policies, regulations, compliance requirements, and acquisition lifecycle security considerations.","Ability to design secure architectures, frameworks, and system models aligned with organizational requirements. | Skill in evaluating system and network designs to identify architectural risks and weaknesses. | Ability to develop and implement security controls and secure design patterns. | Skill in translating operational and mission requirements into actionable security architecture components. | Skill in implementing network segmentation and layered defensive architectures. | Ability to integrate business goals, mission needs, and technical constraints into architectural decisions. | Strong collaboration skills for working with stakeholders across engineering, operations, and leadership teams.",security architecture | secure design | risk management | defense in depth | network segmentation | system security engineering | architecture analysis,"Bachelor’s degree in Cybersecurity, Computer Science, Information Technology, Software Engineering, or a related technical field.","3–6 years of experience in cybersecurity engineering, system design, or architecture-focused technical roles. | Hands-on experience developing or reviewing secure system architectures, cloud architectures, or enterprise security designs. | Experience with frameworks such as NIST CSF, NIST SP 800-160 (Systems Security Engineering), or Zero Trust Architecture models.",ISC2 CISSP (preferred) | ISACA CISM (for governance alignment) | Cisco CCNP Security or CCSP (for secure network architectures) | AWS Solutions Architect – Security Specialty (for cloud-focused architects) | SABSA Foundation (optional architecture-specific credential),3,6,0.40,0.30,0.20,0.05,0.05,60,cybersecurity_architecture
11,Secure Software Engineer,"The Secure Software Engineer builds and maintains applications with strong secure coding practices. This role integrates security requirements into the software lifecycle, performs secure code reviews, and ensures applications follow secure design principles across development and deployment.","Develop secure, maintainable code aligned with secure coding standards and OWASP Top 10 vulnerability prevention | Perform code reviews to identify vulnerabilities, weaknesses, and insecure coding patterns | Integrate security requirements into application design and development workflows throughout the software development lifecycle (SDLC) | Implement input validation, error handling, and encryption where needed using secure coding practices | Conduct basic threat modeling and document application attack surfaces to identify potential security risks | Use static analysis tools to detect and mitigate coding flaws and vulnerabilities | Collaborate with engineering and security teams to ensure secure release processes and secure SDLC practices | Apply knowledge of secure design patterns, cryptography basics, and secure data handling practices | Debug software and translate requirements into secure design elements | Maintain awareness of version control, build pipelines, and configuration management tools for secure deployment","Develop secure, maintainable code aligned with secure coding standards. | Perform code reviews to identify vulnerabilities and weaknesses. | Integrate security requirements into application design and development. | Implement input validation, error handling, and encryption where needed. | Conduct basic threat modeling and document application attack surfaces. | Use static analysis tools to detect and mitigate coding flaws. | Collaborate with engineering and security teams to ensure secure release processes.","Secure coding principles and common vulnerabilities (e.g., OWASP Top 10). | Software development lifecycle (SDLC) and secure SDLC concepts. | Threat modeling basics and secure design patterns. | Version control, build pipelines, and configuration management tools. | Cryptography basics and secure data handling practices.",Skill in applying secure coding practices and debugging software. | Ability to implement input validation and secure error handling. | Skill in performing static code analysis. | Ability to translate requirements into secure design elements. | Strong communication skills for working with engineering teams.,secure coding | software security | input validation | error handling | static code analysis | threat modeling | secure SDLC,"Bachelor’s in Computer Science, Software Engineering, Cybersecurity, or a related field.",2–5 years in software development or application security. | Experience with SAST/DAST tools and secure SDLC practices.,GIAC GSSP | CSSLP | CompTIA PenTest+ | AWS or Microsoft Developer Certification,2,5,0.40,0.30,0.20,0.05,0.05,60,secure_software_development
12,Secure Systems Engineer,"The Secure Systems Engineer designs, develops, and maintains secure systems throughout the systems development life cycle. This role evaluates system security requirements, integrates secure configurations, performs vulnerability identification, and collaborates with engineering and operations teams to ensure systems meet security standards and operational needs.","Design and implement secure system architectures and configurations for new and existing systems using security engineering principles | Integrate cybersecurity requirements and security controls into system designs and development activities throughout the system life cycle | Identify system vulnerabilities and assist in resolving security findings and configuration issues | Perform security testing, validation, and basic system-level threat analysis using vulnerability assessment methods | Develop system security documentation including design artifacts, configuration guides, and testing procedures | Support secure system deployment, upgrades, and maintenance activities following system hardening concepts | Collaborate with DevOps, engineering, and security teams to integrate secure development lifecycle practices | Apply knowledge of secure configuration management, authentication, access control, and data protection mechanisms | Audit technical systems and analyze system performance impacts of security controls | Maintain awareness of common system vulnerabilities, secure system design patterns, and basic networking and operating system fundamentals","Design and implement secure system architectures and configurations for new and existing systems. | Integrate cybersecurity requirements and security controls into system designs and development activities. | Identify system vulnerabilities and assist in resolving security findings and configuration issues. | Perform security testing, validation, and basic system-level threat analysis. | Develop system security documentation including design artifacts, configuration guides, and testing procedures. | Support secure system deployment, upgrades, and maintenance activities. | Collaborate with DevOps, engineering, and security teams to integrate secure development lifecycle practices.","Security engineering principles and system hardening concepts. | Secure configuration management and system life cycle processes. | Common system vulnerabilities and secure system design patterns. | Basic networking and operating system fundamentals (Windows/Linux). | System security testing, validation, and vulnerability assessment methods. | Authentication, access control, and data protection mechanisms. | Risk analysis concepts and security controls applicable to system development.",Skill in designing and validating secure system configurations. | Ability to identify system vulnerabilities and security gaps. | Skill in developing and documenting system security controls. | Ability to perform basic system-level risk analysis. | Skill in auditing technical systems and analyzing system performance impacts. | Strong collaboration and communication abilities across engineering and security teams.,secure system design | system hardening | risk analysis | vulnerability identification | secure configuration | system security testing | secure SDLC,"Bachelor’s degree in Information Technology, Cybersecurity, Systems Engineering, or related field.","2–5 years of experience in systems engineering, secure system development, or security-focused DevOps. | Familiarity with system hardening benchmarks, secure deployment pipelines, and system validation techniques. | Experience supporting system testing, integration, or security reviews.","CompTIA Security+ | CompTIA CySA+ | GIAC GSEC | Microsoft or Linux systems engineering certifications (e.g., MSCA, RHCSA)",2,5,0.40,0.30,0.20,0.05,0.05,60,secure_systems_development
13,Software Security Analyst,"The Software Security Analyst evaluates the security of applications through code review, threat modeling, vulnerability analysis, and validation of secure design practices. This role supports development teams by identifying weaknesses early in the SDLC and ensuring software meets security requirements before release.","Perform secure code reviews to identify vulnerabilities, insecure coding patterns, and common software vulnerabilities such as OWASP Top 10 and CWE/SANS Top 25 | Conduct vulnerability analysis of software components, patches, and updates using static and dynamic code analysis tools | Integrate security requirements into application design and development workflows following secure SDLC practices | Conduct threat modeling and document application attack surfaces to identify potential security risks | Develop and execute security testing and validation procedures using secure test plans | Perform static code analysis with manual and automated techniques to identify security flaws | Prepare concise vulnerability analysis reports and remediation guidance for engineering teams | Collaborate with developers and engineers to ensure secure software deployment and application-level risk mitigation | Evaluate application security controls and communicate findings clearly to engineering teams | Apply knowledge of secure software development principles, risk management, and software quality assurance practices","Perform secure code reviews to identify vulnerabilities and insecure coding patterns. | Conduct vulnerability analysis of software components, patches, and updates. | Integrate security requirements into application design and development workflows. | Conduct threat modeling and document application attack surfaces. | Develop and execute security testing and validation procedures. | Prepare concise vulnerability analysis reports and remediation guidance. | Collaborate with developers and engineers to ensure secure software deployment.","Common software vulnerabilities (e.g., OWASP Top 10, CWE/SANS Top 25) and remediation techniques. | Secure software development principles and secure SDLC practices. | Threat modeling, attack surface analysis, and secure design concepts. | Static and dynamic code analysis tools and methods. | Basic networking, OS fundamentals, and application architecture concepts. | Risk management principles and application-level risk analysis. | Software quality assurance and secure deployment practices.",Skill in recognizing software vulnerabilities and insecure coding patterns. | Ability to perform static code analysis with manual and automated techniques. | Skill in designing secure test plans and evaluating application security controls. | Ability to communicate findings clearly to engineering teams. | Skill in performing application-level risk analysis and recommending mitigations.,application security | secure code review | static analysis | threat modeling | vulnerability analysis | secure SDLC | software risk assessment,"Bachelor’s in Computer Science, Software Engineering, Cybersecurity, or a related field.","1–4 years of experience in application security, secure code review, or software development. | Experience with SAST/DAST tools and secure development practices. | Understanding of threat modeling techniques and vulnerability assessment workflows.",GIAC GWAPT or GSSP | CompTIA PenTest+ | CSSLP (optional) | Vendor secure development certifications (AWS/Azure/Google),1,4,0.40,0.30,0.20,0.05,0.05,60,software_security_assessment
14,Systems Security Analyst,"The Systems Security Analyst helps ensure systems are securely configured, maintained, and monitored. This role supports vulnerability management, system hardening, access control validation, and the documentation of security operations across enterprise systems.","Scan systems for vulnerabilities and track remediation progress using vulnerability scanning and patching practices | Review system configurations and identify security gaps or misconfigurations | Support system hardening and apply security patches and updates to maintain secure configurations | Monitor security events and assist in analyzing system-level alerts for security issues | Update system security documentation and configuration records | Recommend risk mitigation steps and basic system security improvements | Evaluate basic security controls including access control and system-level security measures | Analyze logs or system activity for security issues using Windows/Linux operating system fundamentals | Apply knowledge of basic networking, firewall concepts, and configuration management practices | Collaborate with system and security teams to maintain system security across enterprise environments",Scan systems for vulnerabilities and track remediation progress. | Review system configurations and identify security gaps or misconfigurations. | Support system hardening and apply security patches and updates. | Monitor security events and assist in analyzing system-level alerts. | Update system security documentation and configuration records. | Recommend risk mitigation steps and basic system security improvements.,"System security basics including access control, vulnerabilities, and secure configurations. | Windows/Linux operating system fundamentals. | Basic networking and firewall concepts. | Vulnerability scanning, patching, and configuration management practices. | Risk management and system-level security controls.",Skill in identifying system vulnerabilities and misconfigurations. | Ability to apply secure configuration updates and patches. | Skill in evaluating basic security controls. | Ability to analyze logs or system activity for security issues. | Strong communication for working with system and security teams.,system hardening | vulnerability management | security monitoring | configuration management | access control | risk mitigation,"Bachelor’s degree in Cybersecurity, IT, Computer Science, or a related field.",1–3 years in system administration or security operations. | Experience with vulnerability scanners and basic system monitoring tools.,CompTIA Security+ | CompTIA CySA+ | GIAC GSEC,1,3,0.40,0.30,0.20,0.05,0.05,60,systems_security_analysis
15,Network Operations Analyst,"The Network Operations Analyst supports the planning, maintenance, monitoring, and security of enterprise network environments. This role ensures that network devices, connectivity, and communication paths are reliable, optimized, and protected against threats.","Monitor network performance and identify connectivity or latency issues using network monitoring methods and performance indicators | Install, configure, and maintain routers, switches, firewalls, and other network devices | Apply network patches and firmware updates to address vulnerabilities and maintain device security | Troubleshoot network outages, device failures, and configuration issues using command-line tools for diagnostics | Improve network security through proper device configuration, access controls, and secure network communication practices | Support network backup, recovery, and failover testing procedures following network contingency planning | Document network configurations, changes, and operational activities | Apply knowledge of networking fundamentals including LAN, WAN, VLANs, routing, and switching | Configure and maintain firewall concepts, VPNs, and network security practices | Execute network troubleshooting using operating system basics and network equipment operations","Monitor network performance and identify connectivity or latency issues. | Install, configure, and maintain routers, switches, firewalls, and other network devices. | Apply network patches and firmware updates to address vulnerabilities. | Troubleshoot network outages, device failures, and configuration issues. | Assist in improving network security through proper device configuration and access controls. | Support network backup, recovery, and failover testing procedures. | Document network configurations, changes, and operational activities.","Networking fundamentals including LAN, WAN, VLANs, routing, and switching. | Firewall concepts, VPNs, and secure network communication practices. | Basic cybersecurity principles and network threat concepts. | Operating system basics and command-line tools for network troubleshooting. | Network monitoring methods, performance indicators, and hardware/software components. | Patch and configuration management for network devices.","Skill in configuring routers, switches, and firewalls. | Ability to troubleshoot network equipment and connectivity issues. | Skill in applying network security practices and device hardening. | Ability to execute command-line tools for diagnostics (e.g., traceroute, netstat). | Skill in creating and testing network backup and recovery steps. | Ability to read and update network documentation and diagrams.",network monitoring | routing | switching | network security | firewalls | vulnerability patching | troubleshooting,Associate,"1–3 years of hands-on experience with networking or network security. | Experience working with enterprise routers, switches, and firewalls. | Experience with network monitoring tools (e.g., SolarWinds, Zabbix, Splunk).",CompTIA Network+ | Cisco CCNA | CompTIA Security+,1,3,0.40,0.30,0.20,0.05,0.05,60,network_operations
16,Database Security Analyst,"The Database Administrator manages and maintains secure, reliable, and efficient database systems. This role supports data storage, backup and recovery, performance tuning, and the implementation of data management standards across the organization.","Install, configure, and maintain database management systems (DBMS) using database administration skills | Monitor database performance and apply tuning or optimization as needed | Perform regular backups and support database recovery operations following data integrity and backup principles | Implement data management standards, access controls, and security policies for secure data handling | Plan for database capacity changes and future data growth using capacity planning strategies | Troubleshoot database errors, performance issues, and integrity problems | Document database procedures, configurations, and operational activities | Design effective data storage structures using database schema design and indexing strategies | Perform structured queries and automate database tasks using SQL fundamentals | Implement data protection, access controls, and encryption to ensure secure distribution of data","Install, configure, and maintain database management systems (DBMS). | Monitor database performance and apply tuning or optimization as needed. | Perform regular backups and support database recovery operations. | Implement data management standards, access controls, and security policies. | Plan for database capacity changes and future data growth. | Troubleshoot database errors, performance issues, and integrity problems. | Document database procedures, configurations, and operational activities.","Database management system (DBMS) concepts and SQL fundamentals. | Data integrity, backup, recovery, and storage principles. | Basic cybersecurity principles and secure data handling practices. | Database schema design, indexing, and optimization strategies. | Capacity planning and performance monitoring for databases. | Network and operating system basics related to database environments.","Skill in administering and maintaining relational databases. | Ability to optimize database performance and troubleshoot issues. | Skill in designing effective data storage structures. | Ability to perform structured queries and automate database tasks. | Skill in implementing data protection, access controls, and encryption. | Ability to prepare clear documentation and reporting.",database administration | SQL | backup and recovery | performance tuning | data integrity | db security | database monitoring,"Bachelor’s degree in Computer Science, Information Systems, IT, or a related field.","1–3 years of experience with database administration or data management. | Experience with SQL-based relational databases (e.g., MySQL, PostgreSQL, SQL Server, Oracle). | Familiarity with backup strategies, indexing, and database monitoring tools.",Microsoft SQL Server (MCSA) | Oracle Database Associate | CompTIA Data+ | AWS/Azure database specialty certifications (optional),1,3,0.40,0.30,0.20,0.05,0.05,60,database_administration
17,Cybersecurity Systems Administrator,"The Cybersecurity Systems Administrator is responsible for securely configuring, maintaining, and monitoring enterprise systems. This role manages user access, system updates, backups, and recovery processes while ensuring systems comply with organizational security policies.","Install, configure, and update servers and operating systems (Windows/Linux) following system administration principles | Maintain baseline system security and apply patches, updates, and configuration changes using system hardening and patch management practices | Troubleshoot system issues, hardware failures, and software interoperability problems to optimize system performance | Manage system and network user accounts, access rights, and authentication procedures following access control and password policy best practices | Monitor server configurations and ensure compliance with security policies and organizational standards | Perform system backups and support recovery operations using backup and recovery processes and redundancy techniques | Document system configurations, procedures, and administrative activities | Configure and maintain servers securely using virtualization tools and system imaging concepts | Enforce access controls and manage user access management across enterprise systems | Apply knowledge of network basics relevant to system connectivity and troubleshooting","Install, configure, and update servers and operating systems (Windows/Linux). | Maintain baseline system security and apply patches, updates, and configuration changes. | Troubleshoot system issues, hardware failures, and software interoperability problems. | Manage system and network user accounts, access rights, and authentication procedures. | Monitor server configurations and ensure compliance with security policies. | Perform system backups and support recovery operations when needed. | Document system configurations, procedures, and administrative activities.","System administration principles for Windows/Linux environments. | Access control, authentication, and password policy best practices. | Basic cybersecurity principles including system hardening and patch management. | Virtualization tools and system imaging concepts. | Backup and recovery processes and redundancy techniques. | Network basics relevant to system connectivity and troubleshooting.","Skill in administering and troubleshooting operating systems. | Ability to configure and maintain servers securely. | Skill in managing user accounts and enforcing access controls. | Ability to develop, maintain, and restore system backups. | Skill in optimizing system performance and resolving system failures.",system hardening | patch management | user access management | server configuration | backup and recovery | os administration | security monitoring,"Associate’s or Bachelor’s in Information Technology, Cybersecurity, Computer Science, or related field.","1–3 years of experience in system administration or IT operations. | Experience with Active Directory, Linux administration, or virtualization platforms. | Familiarity with system hardening guides (e.g., CIS Benchmarks).",CompTIA Security+ | CompTIA Linux+ or Server+ | Microsoft or Linux system administration certifications,1,3,0.40,0.30,0.20,0.05,0.05,60,systems_administration
18,Cybersecurity Data Analyst,"The Cybersecurity Data Analyst analyzes data from multiple systems to identify trends, anomalies, and potential security or privacy risks. This role creates metrics, validates data quality, and translates complex datasets into actionable insights that strengthen the organization’s cybersecurity posture.","Collect, organize, and analyze security data from logs, alerts, and monitoring systems using data analysis and statistical methods | Identify trends, patterns, and anomalies in security data to support threat detection and incident response | Develop dashboards, reports, and visualizations to communicate security metrics and insights to stakeholders | Support security operations by querying and correlating data from SIEM, EDR, and other security platforms | Perform basic statistical analysis and data modeling to identify security risks and operational improvements | Collaborate with security teams to translate data findings into actionable recommendations | Maintain data quality, integrity, and documentation of analytical processes | Apply knowledge of cybersecurity concepts, threat indicators, and security monitoring fundamentals | Use data visualization tools and techniques to present complex security information clearly | Support security metrics reporting and performance measurement initiatives","Analyze security, system, and operational data to identify anomalies and patterns. | Develop dashboards, metrics, and trend reports for cybersecurity teams and leadership. | Assess data quality and validate source data before analysis. | Define data requirements, standards, and collection procedures. | Perform descriptive and statistical analysis to support threat detection and risk assessments. | Prepare clear reports, summaries, and visualizations of analytical findings.","Cybersecurity principles including threats, vulnerabilities, and risk concepts. | Data analysis tools, statistical methods, and anomaly detection techniques. | Data standards, quality assessment methods, and data lifecycle practices. | Basic networking and system fundamentals relevant to cybersecurity datasets. | Privacy principles and data handling requirements.","Skill in detecting anomalies and hidden patterns in large datasets. | Ability to develop algorithms or basic analytical workflows. | Skill in applying descriptive statistics and data validation techniques. | Ability to analyze data structures and identify inconsistencies. | Skill in preparing written reports, summaries, and stakeholder briefings.",data analysis | anomaly detection | metric development | threat analytics | data quality validation | statistical analysis | cybersecurity insights,"Bachelor’s degree in Data Science, Cybersecurity, Computer Science, Information Systems, or a related field.","1–3 years of experience in data analysis, cybersecurity analytics, or security operations. | Experience with analytical tools (e.g., Python, SQL, Excel, Power BI). | Exposure to cybersecurity logs, telemetry, or incident datasets.",CompTIA Data+ | Google/AWS/Azure Data Analytics certifications | ISC2 CC or Security+ (helpful for cybersecurity context),1,3,0.40,0.30,0.20,0.05,0.05,60,cyber_data_analysis
19,Cybercrime Investigator,"The Cybercrime Investigator analyzes cybersecurity incidents and digital evidence to identify intrusion activity, assess impact, and support legal or incident response actions. This role examines logs, network data, and system artifacts to uncover malicious behavior while ensuring evidence is preserved and handled according to investigative standards.","Investigate cybercrime incidents including fraud, data breaches, and unauthorized access using investigative techniques and forensic analysis | Collect and preserve digital evidence following chain-of-custody procedures and legal requirements | Analyze logs, network traffic, and system artifacts to identify perpetrators and reconstruct attack timelines | Collaborate with law enforcement, legal teams, and internal stakeholders on cybercrime cases | Prepare detailed investigation reports and documentation for legal proceedings and management review | Conduct interviews and gather information from witnesses, victims, and suspects as needed | Apply knowledge of cybercrime laws, regulations, and investigative procedures | Use forensic tools and techniques to examine compromised systems and extract evidence | Identify indicators of compromise and threat actor tactics, techniques, and procedures | Maintain awareness of emerging cybercrime trends, attack methods, and investigative best practices","Collect, preserve, and process digital evidence while maintaining chain of custody. | Analyze logs, network traffic, and system artifacts to identify intrusion activity. | Determine relevance and evidentiary value of recovered data. | Identify indicators of criminal activity, threat actor behaviors, or compromise patterns. | Document investigation steps, findings, and preserved digital evidence. | Support decisions on whether incidents require legal action or intelligence-focused handling. | Prepare reports summarizing investigative findings and recommended next steps.","Digital forensics fundamentals and evidence handling procedures. | Chain of custody requirements and digital evidence preservation techniques. | Cybersecurity threats, vulnerabilities, and intrusion behaviors. | Network and log analysis concepts relevant to intrusion investigations. | Laws and regulations related to privacy, cybercrime, and digital evidence. | Basic malware behavior, system artifacts, and common attack patterns.","Skill in preserving and collecting digital evidence without contamination. | Ability to analyze logs, network data, or host artifacts to identify malicious activity. | Skill in performing threat analysis and correlating event data. | Ability to assess evidentiary relevance and identify key data elements. | Skill in documenting investigative procedures and maintaining clear case records.",digital evidence | log analysis | forensics | chain of custody | threat analysis | intrusion investigation | artifact examination,"Bachelor’s degree in Cybersecurity, Digital Forensics, Computer Science, Criminal Justice (with cyber focus), or related field.","1–3 years in incident response, SOC analysis, or digital forensics. | Experience handling digital evidence, log data, or intrusion investigation workflows. | Exposure to forensic tools such as Autopsy, FTK, EnCase, or similar platforms.",CompTIA CySA+ | CompTIA Security+ | EC-Council CHFI (desirable) | GIAC GCIH or GCFA (optional),1,3,0.40,0.30,0.20,0.05,0.05,60,cybercrime_investigation
20,Digital Evidence Analyst,"The Digital Evidence Analyst collects, examines, and preserves digital artifacts from systems, networks, and media to support cybersecurity investigations. This role applies forensic techniques to identify relevant evidence, analyze data sources, and document findings while maintaining strict chain-of-custody procedures.","Collect, preserve, and process digital evidence from various sources following forensic best practices and chain-of-custody requirements | Perform forensic analysis of digital media, including hard drives, mobile devices, and cloud storage | Use forensic tools and techniques to extract, analyze, and document evidence for investigations | Maintain evidence integrity and ensure proper handling throughout the investigative lifecycle | Prepare detailed forensic reports and documentation for legal proceedings and case management | Collaborate with investigators, legal teams, and law enforcement on evidence analysis and case support | Apply knowledge of file systems, operating systems, and data recovery techniques | Conduct analysis of logs, metadata, and system artifacts to support investigations | Maintain forensic laboratory equipment, tools, and documentation standards | Stay current with forensic methodologies, legal requirements, and emerging digital evidence sources","Identify and acquire digital evidence from systems, drives, and network sources. | Create forensically sound images of digital media. | Analyze file systems, logs, memory, and artifacts to uncover malicious or suspicious activity. | Recover deleted or concealed data from forensic images. | Document the original condition of evidence and maintain complete chain-of-custody records. | Prepare reports summarizing findings, methods used, and evidence relevance. | Scan and validate digital media for malware or tampering. | Determine the significance and evidentiary value of recovered data.","Digital forensics principles, tools, and methodologies. | File system structures, OS internals, and common forensic artifacts. | Chain-of-custody requirements, evidence handling, and admissibility standards. | Cybersecurity threats, vulnerabilities, and intrusion indicators. | Memory analysis, disk imaging, and data carving concepts. | Basic network forensics and log analysis fundamentals.","Skill in preserving and collecting digital evidence without contamination. | Ability to create and analyze forensic images. | Skill in file system forensics and recovering deleted or hidden data. | Skill in analyzing logs, artifacts, and memory dumps. | Ability to generate clear technical reports based on evidence findings. | Skill in identifying anomalies, indicators of compromise, or malicious behavior.",digital forensics | evidence preservation | drive imaging | file system analysis | memory analysis | artifact analysis | chain of custody | log analysis,Associate,"Experience with forensic tools such as FTK, Autopsy, EnCase, X-Ways, or similar. | Exposure to file system analysis, memory forensics, or host-based investigations. | Hands-on experience with log analysis or threat investigation workflows.",CompTIA Security+ | CompTIA CySA+ (optional) | CHFI (optional) | GIAC GCFA or GCIH (optional),1,3,0.40,0.30,0.20,0.05,0.05,60,digital_evidence_analysis
